feature_selector,roi_name,condition_source,condition_target,counts,diff_mean,diff_std,diff_sig
None,fusiform,conscious,conscious,7,0.2709981953071767,0.06837325372201375,0.2709981953071767
None,fusiform,conscious,glimpse,7,0.1888779068937087,0.08115730781545477,0.1888779068937087
None,fusiform,conscious,unconscious,7,0.06677811914266923,0.0171934575888734,0.06677811914266923
None,fusiform,glimpse,conscious,7,0.23646494051515862,0.08939991724256066,0.23646494051515862
None,fusiform,glimpse,glimpse,7,0.16247901674868961,0.07862973865344022,0.16247901674868961
None,fusiform,glimpse,unconscious,6,0.032850398557096164,0.01795678118513724,0.03891058738571819
None,fusiform,unconscious,conscious,6,0.07911344394647397,0.05572595603701048,0.08873956443336094
None,fusiform,unconscious,glimpse,5,0.047294616889003036,0.03887721639322821,0.0666610333583791
None,fusiform,unconscious,unconscious,6,0.03521801135541536,0.0202482700352822,0.04170517865738407
None,inferiorparietal,conscious,conscious,7,0.19212257867533217,0.07504069512944565,0.19212257867533217
None,inferiorparietal,conscious,glimpse,6,0.11692137707638697,0.06930569991373148,0.13573745460423908
None,inferiorparietal,conscious,unconscious,6,0.035989107803099045,0.017607526169946357,0.041028447755939355
None,inferiorparietal,glimpse,conscious,6,0.14960599623358736,0.0857775964653834,0.17731196791391154
None,inferiorparietal,glimpse,glimpse,6,0.12053562882533118,0.08770418432333574,0.142232329384572
None,inferiorparietal,glimpse,unconscious,4,0.02650068076281265,0.023853178719286525,0.045103105449600486
None,inferiorparietal,unconscious,conscious,5,0.03780006185257317,0.06465346505705659,0.06952839186078642
None,inferiorparietal,unconscious,glimpse,5,0.04429987568374928,0.04712763835586334,0.06899648452623103
None,inferiorparietal,unconscious,unconscious,4,0.025560275422714194,0.022399101622518392,0.04122534278758414
None,inferiortemporal,conscious,conscious,7,0.16282464605669872,0.05981882469190742,0.16282464605669872
None,inferiortemporal,conscious,glimpse,7,0.1126618231300595,0.06218571900182526,0.1126618231300595
None,inferiortemporal,conscious,unconscious,6,0.03851710085686151,0.022458074477461572,0.042674625276779336
None,inferiortemporal,glimpse,conscious,7,0.15022703543477361,0.06875972307859587,0.15022703543477361
None,inferiortemporal,glimpse,glimpse,7,0.08306901792931377,0.04515851705662993,0.08306901792931377
None,inferiortemporal,glimpse,unconscious,5,0.03302732380080302,0.0320395574780819,0.049477157583459844
None,inferiortemporal,unconscious,conscious,6,0.05601254116554799,0.035518040149571446,0.06277096046860567
None,inferiortemporal,unconscious,glimpse,3,0.024788700401937782,0.04000047412329007,0.061982798115666114
None,inferiortemporal,unconscious,unconscious,4,0.013326981122623463,0.018653640409121326,0.026633523710445896
None,lateraloccipital,conscious,conscious,7,0.26491352745573354,0.05688657844752247,0.26491352745573354
None,lateraloccipital,conscious,glimpse,7,0.16093390908232205,0.047325298596487334,0.16093390908232205
None,lateraloccipital,conscious,unconscious,7,0.05994427885534126,0.030253908219392996,0.05994427885534126
None,lateraloccipital,glimpse,conscious,7,0.20075267842068054,0.07698985024053363,0.20075267842068054
None,lateraloccipital,glimpse,glimpse,7,0.13500676903423287,0.0746448570821628,0.13500676903423287
None,lateraloccipital,glimpse,unconscious,6,0.027794302740111018,0.016872176073318344,0.03265500793080455
None,lateraloccipital,unconscious,conscious,7,0.07045929145327087,0.027306294034657064,0.07045929145327087
None,lateraloccipital,unconscious,glimpse,5,0.04455622083666254,0.03441668979791973,0.06251140882997033
None,lateraloccipital,unconscious,unconscious,4,0.011507245224549146,0.022866008427696528,0.02896323846323058
None,lingual,conscious,conscious,7,0.09613820737722836,0.02636180552872189,0.09613820737722836
None,lingual,conscious,glimpse,5,0.05805715862191761,0.05391749437810084,0.07954333028813851
None,lingual,conscious,unconscious,6,0.04564703714066367,0.01870059031521582,0.05223044094545904
None,lingual,glimpse,conscious,6,0.06800759090735391,0.05347602721803537,0.0800861518892819
None,lingual,glimpse,glimpse,6,0.0630810429700504,0.04188303609170635,0.07577638732096595
None,lingual,glimpse,unconscious,4,0.019916040065259925,0.02362140840621618,0.03597413823340898
None,lingual,unconscious,conscious,5,0.045488852485970545,0.03181293997149233,0.05913632934713102
None,lingual,unconscious,glimpse,3,0.021777296584422057,0.02294501453217083,0.04340318203079071
None,lingual,unconscious,unconscious,3,0.017860317022887418,0.025154257289669323,0.04093568045808057
None,parahippocampal,conscious,conscious,7,0.12426749257381511,0.06879616496138603,0.12426749257381511
None,parahippocampal,conscious,glimpse,7,0.09301880937236504,0.05758840737246841,0.09301880937236504
None,parahippocampal,conscious,unconscious,4,0.027277068770857615,0.025154521538219454,0.04731662872403511
None,parahippocampal,glimpse,conscious,6,0.07931743297348841,0.06966334269455601,0.09635208675827045
None,parahippocampal,glimpse,glimpse,7,0.09895872101251639,0.05321726944523417,0.09895872101251639
None,parahippocampal,glimpse,unconscious,5,0.023861469711225318,0.018404735551786157,0.03392634289434269
None,parahippocampal,unconscious,conscious,5,0.03830100323827724,0.04008253114017369,0.05962297603751637
None,parahippocampal,unconscious,glimpse,4,0.01842405998998879,0.02637206085927381,0.03873834017371419
None,parahippocampal,unconscious,unconscious,4,0.01880455363898692,0.01623693978516821,0.030607720016147005
None,pericalcarine,conscious,conscious,5,0.03242088307202333,0.04914854976956467,0.0583279633178049
None,pericalcarine,conscious,glimpse,2,0.006516183054249073,0.040172046407810746,0.0567128505520967
None,pericalcarine,conscious,unconscious,5,0.021111799221591683,0.022486305711162287,0.032059359343248564
None,pericalcarine,glimpse,conscious,4,0.02173246174493417,0.056564000569520226,0.06323567253545367
None,pericalcarine,glimpse,glimpse,4,0.012637710015537,0.03081995241399403,0.032391000822505844
None,pericalcarine,glimpse,unconscious,4,0.00835191274772436,0.021572947335067205,0.024939880795911498
None,pericalcarine,unconscious,conscious,3,0.015571523651527641,0.027128151067029465,0.0408920451961996
None,pericalcarine,unconscious,glimpse,3,0.009462276161951121,0.014803683168898477,0.021434458719974302
None,pericalcarine,unconscious,unconscious,2,-0.005817421724042464,0.03697841050937403,0.034785412077883764
None,precuneus,conscious,conscious,6,0.04814865420569779,0.03679328092437553,0.057659108288206196
None,precuneus,conscious,glimpse,6,0.049579808397518146,0.043978462152955325,0.06101609283010106
None,precuneus,conscious,unconscious,7,0.03263280825939515,0.012253753362050555,0.03263280825939515
None,precuneus,glimpse,conscious,5,0.06041829179020696,0.051411368969036746,0.08910830891893631
None,precuneus,glimpse,glimpse,4,0.02835474509387126,0.04049515799837884,0.06024853126962314
None,precuneus,glimpse,unconscious,4,0.007737084739604431,0.028623542553009522,0.030488227062477887
None,precuneus,unconscious,conscious,5,0.02976629120360406,0.03289491762022943,0.04485756258331049
None,precuneus,unconscious,glimpse,2,0.010610023946831118,0.024835844322917546,0.04177458873572398
None,precuneus,unconscious,unconscious,2,-0.0003844391319748483,0.024155306058211774,0.024425601840355603
None,rostralmiddlefrontal,conscious,conscious,4,0.008757041152420974,0.07909193354656727,0.06822108666612453
None,rostralmiddlefrontal,conscious,glimpse,4,0.02614172998965191,0.04401770367733392,0.0541177118358496
None,rostralmiddlefrontal,conscious,unconscious,6,0.035576470536775116,0.02052140734436646,0.04219428290066746
None,rostralmiddlefrontal,glimpse,conscious,6,0.046143995527974734,0.04598386318582777,0.06117532330206684
None,rostralmiddlefrontal,glimpse,glimpse,4,0.033754727951336404,0.04606902380725865,0.06889898557891402
None,rostralmiddlefrontal,glimpse,unconscious,2,0.01372582874625808,0.0340119148194601,0.058991209441897265
None,rostralmiddlefrontal,unconscious,conscious,5,0.031110741530933232,0.0487481411367305,0.057364619928619964
None,rostralmiddlefrontal,unconscious,glimpse,4,0.025260522960418308,0.026411301287965573,0.04474331762267315
None,rostralmiddlefrontal,unconscious,unconscious,6,0.02869245181746795,0.019158759229389387,0.034556810351951246
None,superiorfrontal,conscious,conscious,5,0.03347865938115878,0.055190365722242125,0.059118934132372125
None,superiorfrontal,conscious,glimpse,5,0.028054265608931695,0.016605804453766422,0.035414056009039324
None,superiorfrontal,conscious,unconscious,4,0.017566439828135456,0.025699331014071805,0.035681813592148774
None,superiorfrontal,glimpse,conscious,6,0.03771834907696246,0.025228761311772485,0.04309728753874036
None,superiorfrontal,glimpse,glimpse,4,0.01959004250249616,0.035799953214048504,0.04556551584761297
None,superiorfrontal,glimpse,unconscious,5,0.013403624783649452,0.01985938307969229,0.024849548386214795
None,superiorfrontal,unconscious,conscious,3,0.008603893535605108,0.030141619339681347,0.038081728055704124
None,superiorfrontal,unconscious,glimpse,4,0.008748083263676626,0.013999493278957388,0.020087768823562738
None,superiorfrontal,unconscious,unconscious,3,0.020260698496769588,0.02648618189237954,0.0485998946981697
None,superiorparietal,conscious,conscious,7,0.12681553500352385,0.04548279663769065,0.12681553500352385
None,superiorparietal,conscious,glimpse,6,0.06751088831658615,0.04900914090726744,0.0834245281848796
None,superiorparietal,conscious,unconscious,6,0.02852190797116529,0.012941109803485163,0.032120828440542995
None,superiorparietal,glimpse,conscious,6,0.07228985003598877,0.04382298978135876,0.08416592478617162
None,superiorparietal,glimpse,glimpse,5,0.040743938974265884,0.038564871895685096,0.061650215208823314
None,superiorparietal,glimpse,unconscious,3,0.019594133391828913,0.024538825899510737,0.04490733296331748
None,superiorparietal,unconscious,conscious,3,0.015016565508584559,0.03381962260385329,0.046886272638680525
None,superiorparietal,unconscious,glimpse,3,0.007531010951276516,0.02669202644944144,0.03282249793133013
None,superiorparietal,unconscious,unconscious,4,0.005977335567238832,0.024031226641737267,0.020426659921602183
None,ventrolateralPFC,conscious,conscious,7,0.1100478493539576,0.07517185446894074,0.1100478493539576
None,ventrolateralPFC,conscious,glimpse,5,0.04315196891671837,0.05365833588899717,0.06314021825297889
None,ventrolateralPFC,conscious,unconscious,5,0.03272683729992145,0.031056780673063833,0.04964836411307546
None,ventrolateralPFC,glimpse,conscious,6,0.06064367852805293,0.04662988189776298,0.06748854858639085
None,ventrolateralPFC,glimpse,glimpse,4,0.045360360977942646,0.054514250344523556,0.07999355503999749
None,ventrolateralPFC,glimpse,unconscious,5,0.019271465222114734,0.024112890683474955,0.03366060154330747
None,ventrolateralPFC,unconscious,conscious,3,0.027504363296053307,0.0516211169605537,0.07595161077440853
None,ventrolateralPFC,unconscious,glimpse,5,0.022451077998801302,0.018036271218680112,0.030587871927617187
None,ventrolateralPFC,unconscious,unconscious,5,0.0278013417146562,0.019310025990982735,0.03639132235600902
